,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1079877,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:15:59,4.5,4.5,4.0,4.0,100,1000
1079878,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:19:59,3.0,3.0,3.0,3.0,40,1100
1079879,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:20:59,3.0,3.0,3.0,3.0,20,1100
1079880,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:21:59,4.0,4.5,4.0,4.5,300,1100
1079881,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:23:59,4.5,4.5,3.0,3.0,20,1460
1079882,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:43:59,3.0,3.0,3.0,3.0,100,1480
1079883,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:45:59,3.0,3.0,3.0,3.0,20,1580
1079884,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:49:59,3.0,3.3,3.0,3.3,200,1580
1079885,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:53:59,3.25,3.25,3.25,3.25,20,1780
1079886,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:58:59,3.0,3.0,3.0,3.0,140,1780
1079887,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,09:59:59,3.0,3.0,3.0,3.0,200,1880
1079888,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:00:59,3.0,3.0,2.95,3.0,180,1880
1079889,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:02:59,3.0,3.0,3.0,3.0,20,1880
1079890,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:03:59,3.0,3.0,3.0,3.0,40,1880
1079891,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:10:59,2.85,2.85,2.85,2.85,100,1880
1079892,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:12:59,2.8,2.85,2.8,2.85,720,1880
1079893,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:15:59,2.85,2.85,2.85,2.85,1000,2540
1079894,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:26:59,2.85,2.85,2.85,2.85,360,3540
1079895,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:32:59,2.85,2.85,2.7,2.7,20,3900
1079896,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:46:59,2.65,2.65,2.65,2.65,20,3880
1079897,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:47:59,2.65,2.7,2.65,2.7,20,3880
1079898,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:50:59,2.65,2.65,2.65,2.65,40,3880
1079899,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:51:59,2.65,2.65,2.6,2.6,40,3880
1079900,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,10:52:59,2.6,2.6,2.6,2.6,300,3880
1079901,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,11:05:59,2.6,2.6,2.6,2.6,100,3900
1079902,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,11:11:59,2.6,2.65,2.6,2.65,20,3800
1079903,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,11:12:59,2.65,2.8,2.65,2.75,40,3800
1079904,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,11:13:59,2.8,2.8,2.8,2.8,20,3800
1079905,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,12:00:59,2.8,2.85,2.8,2.85,40,3780
1079906,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,12:17:59,2.85,2.85,2.85,2.85,20,3800
1079907,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,13:38:59,2.95,2.95,2.95,2.95,200,3800
1079908,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:00:59,2.95,2.95,2.7,2.7,260,4000
1079909,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:01:59,2.7,3.0,2.7,2.95,420,4000
1079910,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:07:59,2.95,2.95,2.95,2.95,40,4240
1079911,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:36:59,2.95,2.95,2.6,2.6,20,4260
1079912,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:41:59,3.8,3.8,3.8,3.8,200,4260
1079913,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:42:59,2.95,2.95,2.95,2.95,20,4260
1079914,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:43:59,3.0,3.0,3.0,3.0,100,4440
1079915,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:44:59,3.0,3.3,3.0,3.3,60,4440
1079916,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,14:58:59,2.75,2.75,2.75,2.75,20,4440
1079917,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,15:06:59,2.8,2.8,2.8,2.8,40,4600
1079918,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,15:14:59,2.7,2.7,2.45,2.45,40,4620
1079919,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,15:27:59,2.95,2.95,2.95,2.95,20,4620
1079920,BANKNIFTY04JUN2014300PE.NFO,2020-06-01,15:29:59,2.95,2.95,2.9,2.9,20,4600
