,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1135232,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:15:59,80.0,128.35,28.1,33.05,5080,33980
1135233,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:16:59,33.65,35.0,32.5,34.35,10320,33980
1135234,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:17:59,34.35,37.55,34.25,37.5,9480,33260
1135235,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:18:59,37.3,37.35,34.2,35.25,5980,33260
1135236,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:19:59,35.6,38.85,35.15,38.55,5160,33260
1135237,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:20:59,38.3,41.05,37.1,40.55,5340,39440
1135238,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:21:59,41.25,47.1,40.65,46.05,6700,39440
1135239,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:22:59,45.7,47.5,45.7,46.8,3720,39440
1135240,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:23:59,46.8,49.0,46.1,47.8,3060,37060
1135241,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:24:59,47.4,47.9,46.45,47.1,1460,37060
1135242,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:25:59,48.2,50.15,48.0,49.0,5660,37060
1135243,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:26:59,49.4,49.55,46.5,47.2,1740,35160
1135244,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:27:59,46.9,47.9,46.05,46.5,2360,35160
1135245,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:28:59,46.5,48.6,46.5,47.95,760,35160
1135246,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:29:59,48.15,48.45,47.05,47.9,1120,35700
1135247,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:30:59,48.0,48.5,46.1,46.7,1080,35700
1135248,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:31:59,46.35,46.35,41.8,41.8,2880,35700
1135249,BANKNIFTY04JUN2018100PE.NFO,2020-06-01,09:32:59,41.2,43.2,41.05,42.55,3100,36600
