,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1234248,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:15:59,21.75,66.0,21.75,51.6,3500,6460
1234249,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:16:59,51.6,67.55,41.05,59.5,13840,6460
1234250,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:17:59,58.1,65.9,57.35,63.7,20220,12380
1234251,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:18:59,64.2,98.95,64.2,94.3,38160,12380
1234252,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:19:59,95.9,124.1,95.9,120.95,29760,12380
1234253,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:20:59,119.8,139.45,113.8,119.95,11900,50260
1234254,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:21:59,119.95,123.6,103.65,110.75,9800,50260
1234255,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:22:59,113.05,113.05,96.75,96.9,9080,50260
1234256,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:23:59,96.7,103.15,94.8,94.8,8260,64140
1234257,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:24:59,95.4,100.55,94.45,96.5,6880,64140
1234258,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:25:59,93.4,94.25,88.0,94.25,10240,64140
1234259,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:26:59,95.35,99.1,93.1,99.1,7840,67140
1234260,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:27:59,100.0,102.8,95.05,96.85,8500,67140
1234261,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:28:59,96.85,98.45,87.75,87.75,6080,67140
1234262,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:29:59,87.75,89.75,85.05,85.95,4280,71140
1234263,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:30:59,85.95,91.05,85.95,91.05,6320,71140
1234264,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:31:59,90.5,104.65,90.2,104.65,7860,71140
1234265,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:32:59,105.55,108.55,100.0,106.4,12880,75720
1234266,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:33:59,106.8,109.05,98.3,98.8,9360,75720
1234267,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:34:59,99.45,102.5,96.4,97.1,10480,75720
1234268,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:35:59,96.95,97.4,90.15,93.15,6680,77820
1234269,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:36:59,94.35,94.85,88.95,89.1,5480,77820
1234270,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:37:59,89.7,94.4,88.0,92.8,2780,77820
1234271,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:38:59,92.8,95.0,89.7,92.45,2380,78980
1234272,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:39:59,92.05,99.25,92.0,94.05,5480,78980
1234273,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:40:59,94.35,99.4,94.35,94.85,3420,78980
1234274,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:41:59,94.45,97.35,92.0,92.75,2400,83860
1234275,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:42:59,92.75,92.75,86.4,87.0,4400,83860
1234276,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:43:59,87.15,87.9,84.15,84.75,13800,83860
1234277,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:44:59,84.7,88.1,84.55,86.0,11740,76520
1234278,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:45:59,86.0,89.6,85.95,85.95,3380,76520
1234279,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:46:59,84.95,85.7,81.35,83.95,2160,76520
1234280,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:47:59,83.95,88.5,83.95,86.0,2680,79000
1234281,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:48:59,86.6,86.95,84.45,85.45,3740,79000
1234282,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:49:59,85.45,88.15,85.3,87.45,900,79000
1234283,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:50:59,87.45,90.0,86.65,87.4,4140,79580
1234284,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:51:59,87.45,90.0,87.4,89.2,7240,79580
1234285,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:52:59,89.2,90.0,85.45,86.4,4660,79580
1234286,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:53:59,86.4,88.85,84.9,88.7,1900,76940
1234287,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:54:59,88.7,95.75,88.7,93.3,4280,76940
1234288,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:55:59,93.3,100.6,93.25,98.0,7400,76940
1234289,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:56:59,98.0,98.45,90.0,90.8,4600,76980
1234290,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:57:59,90.8,94.4,89.55,89.55,4580,76980
1234291,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:58:59,89.0,92.9,87.8,91.5,1600,76980
1234292,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,09:59:59,91.5,95.4,90.7,95.0,1560,78620
1234293,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:00:59,95.0,103.45,94.15,99.1,6900,78620
1234294,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:01:59,97.85,100.1,97.0,99.55,3440,78620
1234295,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:02:59,99.55,100.75,93.05,94.95,5060,79880
1234296,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:03:59,95.5,95.5,92.15,92.75,2960,79880
1234297,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:04:59,93.15,93.15,89.75,91.3,2100,79880
1234298,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:05:59,91.65,92.1,87.0,87.85,2480,79400
1234299,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:06:59,87.85,88.3,82.0,82.65,3960,79400
1234300,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:07:59,83.7,85.0,80.9,84.45,5140,79400
1234301,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:08:59,85.0,85.85,84.65,84.8,8240,76700
1234302,BANKNIFTY04JUN2021300CE.NFO,2020-06-01,10:09:59,85.15,85.15,82.7,82.9,1900,76700
