,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1254315,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:20:59,36.4,38.95,31.75,31.75,1240,0
1254316,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:22:59,31.75,31.75,25.0,25.0,40,0
1254317,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:23:59,25.0,25.0,25.0,25.0,20,0
1254318,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:29:59,25.0,25.0,15.0,15.0,20,1280
1254319,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:30:59,15.0,22.6,15.0,22.6,100,1280
1254320,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:33:59,22.6,22.6,22.6,22.6,20,1400
1254321,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:38:59,13.25,13.25,13.25,13.25,200,1400
1254322,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:39:59,13.25,15.55,13.25,15.55,20,1400
1254323,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:51:59,20.0,20.0,14.0,14.0,320,1500
1254324,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:54:59,14.0,20.0,14.0,20.0,100,1600
1254325,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:55:59,20.0,20.0,15.15,20.0,700,1600
1254326,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:56:59,20.0,20.05,20.0,20.0,120,2200
1254327,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,09:57:59,20.0,20.0,20.0,20.0,20,2200
1254328,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:02:59,17.65,17.65,17.65,17.65,20,2200
1254329,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:06:59,17.65,18.0,17.5,17.5,620,2180
1254330,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:08:59,17.5,17.5,17.5,17.5,200,2080
1254331,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:09:59,17.5,17.5,17.5,17.5,300,2080
1254332,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:10:59,17.5,17.5,17.5,17.5,20,2080
1254333,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:16:59,17.5,17.5,15.15,15.15,1000,2200
1254334,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:19:59,15.15,15.15,14.0,14.0,20,3140
1254335,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:22:59,14.85,14.85,14.85,14.85,40,3140
1254336,BANKNIFTY04JUN2022700CE.NFO,2020-06-01,10:23:59,15.1,15.1,15.1,15.1,1840,3140
