,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1230608,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:15:59,43.2,64.9,21.85,64.9,1700,14540
1230609,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:16:59,64.9,84.1,57.55,76.95,7120,14540
1230610,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:17:59,75.4,81.45,75.4,81.3,23880,15440
1230611,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:18:59,83.25,122.75,83.25,115.85,40180,15440
1230612,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:19:59,117.9,144.05,116.85,138.95,23640,15440
1230613,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:20:59,139.35,160.6,130.8,142.3,7580,48040
1230614,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:21:59,143.55,147.15,126.3,134.95,5540,48040
1230615,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:22:59,137.25,137.25,117.3,117.3,5540,48040
1230616,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:23:59,118.2,125.45,114.9,115.1,8320,54980
1230617,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:24:59,115.05,121.6,114.8,118.55,3620,54980
1230618,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:25:59,118.55,118.55,107.6,115.0,7020,54980
1230619,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:26:59,116.2,122.0,113.5,122.0,5300,55500
1230620,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:27:59,123.8,125.1,118.2,119.9,8780,55500
1230621,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:28:59,119.9,120.25,108.25,108.25,7580,55500
1230622,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:29:59,109.25,111.25,106.65,107.3,2940,56120
1230623,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:30:59,107.45,113.9,107.45,113.9,5000,56120
1230624,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:31:59,113.4,127.05,112.6,127.05,10200,56120
1230625,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:32:59,130.2,133.45,124.1,130.7,15320,59080
1230626,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:33:59,131.55,133.95,119.6,121.85,10600,59080
1230627,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:34:59,122.65,126.65,119.05,119.75,6840,59080
1230628,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:35:59,119.75,121.75,111.95,117.05,3860,60960
1230629,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:36:59,117.0,117.0,110.0,110.6,3380,60960
1230630,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:37:59,111.5,116.2,108.75,115.0,4180,60960
1230631,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:38:59,114.85,116.95,111.25,111.6,1660,61880
1230632,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:39:59,114.4,123.5,113.7,116.25,5860,61880
1230633,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:40:59,116.75,122.6,116.65,117.5,3880,61880
1230634,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:41:59,116.9,120.5,113.4,115.0,2220,59520
1230635,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:42:59,114.55,114.7,108.6,108.6,2540,59520
1230636,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:43:59,108.5,109.9,104.8,106.6,4120,59520
1230637,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:44:59,106.6,109.85,106.5,107.8,8040,60920
1230638,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:45:59,107.8,111.4,107.3,107.85,6420,60920
1230639,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:46:59,105.7,106.95,102.5,104.85,3140,60920
1230640,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:47:59,104.85,110.15,104.85,108.35,2260,55420
1230641,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:48:59,107.55,108.4,105.2,107.55,2380,55420
1230642,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:49:59,107.55,109.65,106.7,108.6,1660,55420
1230643,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:50:59,108.6,112.3,108.25,109.5,8360,54120
1230644,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:51:59,110.0,112.45,110.0,112.1,4320,54120
1230645,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:52:59,111.65,112.1,107.25,108.7,3080,54120
1230646,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:53:59,108.7,111.35,106.0,111.2,2180,48720
1230647,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:54:59,112.15,120.0,111.45,116.8,7320,48720
1230648,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:55:59,116.1,125.0,116.1,122.8,9080,48720
1230649,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:56:59,122.95,122.95,111.85,112.55,8140,48120
1230650,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:57:59,113.55,118.2,111.35,111.6,5700,48120
1230651,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:58:59,111.6,117.5,110.05,113.65,2720,48120
1230652,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,09:59:59,113.6,119.45,113.15,118.5,2360,50140
1230653,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:00:59,118.5,128.55,117.4,122.25,10500,50140
1230654,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:01:59,122.25,124.6,121.55,123.45,3220,50140
1230655,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:02:59,124.15,126.35,116.2,118.9,5140,50180
1230656,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:03:59,118.95,119.0,115.7,115.7,2400,50180
1230657,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:04:59,116.6,116.6,112.0,114.4,5320,50180
1230658,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:05:59,114.4,115.55,109.35,110.9,3240,52160
1230659,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:06:59,110.9,111.0,102.8,105.6,3660,52160
1230660,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:07:59,105.8,108.35,102.9,106.75,6900,52160
1230661,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:08:59,106.75,109.55,106.75,108.6,1980,51740
1230662,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:09:59,108.6,108.7,104.9,104.9,7840,51740
1230663,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:10:59,105.35,109.2,104.35,109.2,2140,51740
1230664,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:11:59,110.0,110.7,106.55,107.1,3880,47880
1230665,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:12:59,107.25,107.25,103.75,106.8,1860,47880
1230666,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:13:59,106.8,106.8,102.8,103.5,7080,47880
1230667,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:14:59,103.5,105.15,102.9,103.6,1660,44280
1230668,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:15:59,104.2,104.55,101.6,102.55,1620,44280
1230669,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:16:59,102.55,102.55,90.95,91.5,13280,44280
1230670,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:17:59,91.25,95.6,91.15,94.1,5960,43360
1230671,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:18:59,94.45,95.4,88.6,88.65,8380,43360
1230672,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:19:59,88.35,91.3,83.8,89.95,9840,43360
1230673,BANKNIFTY04JUN2021100CE.NFO,2020-06-01,10:20:59,90.7,93.05,90.0,90.55,7420,45400
