,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1124589,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:15:59,45.0,57.65,21.0,22.7,11560,47740
1124590,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:16:59,22.95,24.35,15.45,23.45,12420,47740
1124591,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:17:59,23.85,26.35,23.25,25.95,8180,48960
1124592,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:18:59,25.95,26.3,24.0,25.3,4880,48960
1124593,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:19:59,24.95,27.4,24.65,26.4,3040,48960
1124594,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:20:59,26.4,29.1,25.5,28.25,4360,46200
1124595,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:21:59,29.5,36.5,29.5,35.45,3520,46200
1124596,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:22:59,35.65,37.05,34.7,35.0,3460,46200
1124597,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:23:59,34.8,36.45,34.3,35.05,4140,46220
1124598,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:24:59,35.0,35.75,34.45,34.85,3720,46220
1124599,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:25:59,34.85,37.45,34.85,36.6,2540,46220
1124600,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:26:59,36.05,37.15,35.1,35.1,7280,48560
1124601,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:27:59,34.55,35.5,34.55,35.15,880,48560
1124602,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:28:59,35.15,35.7,34.95,35.5,1240,48560
1124603,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:29:59,35.5,35.7,34.65,35.4,3300,47060
1124604,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:30:59,35.4,35.45,34.0,34.0,6660,47060
1124605,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:31:59,33.9,33.9,30.0,30.55,3860,47060
1124606,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:32:59,30.0,31.35,29.85,31.2,5020,46420
1124607,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:33:59,31.2,31.2,29.8,30.25,1980,46420
1124608,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:34:59,30.0,30.25,29.0,29.7,3520,46420
1124609,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:35:59,29.55,30.4,29.15,29.75,3140,44780
1124610,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:36:59,29.75,31.6,29.75,31.4,1320,44780
1124611,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:37:59,31.4,31.8,30.95,31.05,2320,44780
1124612,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:38:59,31.05,31.45,30.5,31.45,560,43320
1124613,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:39:59,31.45,31.45,29.15,29.9,2940,43320
1124614,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:40:59,29.9,29.9,28.95,29.55,1340,43320
1124615,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:41:59,29.55,30.35,29.3,30.05,900,47820
1124616,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:42:59,30.05,31.2,29.75,31.15,720,47820
1124617,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:43:59,31.15,31.95,31.0,31.15,1320,47820
1124618,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:44:59,31.15,31.2,30.5,30.7,600,43460
1124619,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:45:59,30.7,30.7,29.85,30.7,640,43460
1124620,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:46:59,30.7,31.75,30.7,31.2,760,43460
1124621,BANKNIFTY04JUN2017800PE.NFO,2020-06-01,09:47:59,31.2,31.3,30.25,31.05,820,42920
