,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1254989,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:20:59,32.0,33.8,32.0,33.8,860,0
1254990,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:30:59,33.8,33.8,19.8,19.8,100,860
1254991,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:31:59,19.8,23.4,19.8,23.4,100,860
1254992,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:32:59,23.4,23.4,23.0,23.0,20,860
1254993,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:33:59,23.0,23.0,15.5,15.5,60,1080
1254994,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:35:59,15.5,24.6,15.5,24.6,120,1080
1254995,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:36:59,24.6,24.6,17.5,17.5,700,1080
1254996,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:37:59,17.5,18.3,17.5,18.3,600,1080
1254997,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:38:59,17.5,17.5,17.5,17.5,20,1080
1254998,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:42:59,17.5,20.3,17.5,20.3,40,1620
1254999,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:53:59,19.95,19.95,19.95,19.95,20,1640
1255000,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,09:54:59,19.95,19.95,18.0,18.0,120,1640
1255001,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:00:59,18.0,20.3,18.0,20.3,420,1680
1255002,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:02:59,20.3,20.3,19.9,19.9,20,1680
1255003,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:03:59,19.9,19.9,19.9,19.9,20,1680
1255004,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:06:59,19.9,19.9,16.05,16.05,1220,1700
1255005,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:07:59,16.05,16.05,15.6,15.6,140,1700
1255006,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:08:59,17.55,17.55,17.55,17.55,20,1700
1255007,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:11:59,17.55,17.55,16.0,16.0,20,2640
1255008,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:13:59,16.0,16.8,16.0,16.8,20,2660
1255009,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:16:59,16.8,16.8,15.2,15.2,220,2660
1255010,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:21:59,15.2,15.2,10.6,10.6,40,2880
1255011,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:30:59,10.6,11.75,10.6,11.75,20,2900
1255012,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:33:59,11.75,15.9,11.75,15.9,20,2900
1255013,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:35:59,14.0,14.0,14.0,14.0,20,2900
1255014,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:56:59,14.0,14.55,14.0,14.55,20,2940
1255015,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,10:59:59,15.95,15.95,15.95,15.95,20,2940
1255016,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,11:04:59,15.95,15.95,14.5,14.5,40,2960
1255017,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,11:06:59,14.5,14.55,14.5,14.55,20,2960
1255018,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,11:21:59,14.5,14.5,14.5,14.5,60,2940
1255019,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,11:50:59,15.0,15.0,15.0,15.0,100,2920
1255020,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,11:55:59,15.0,15.0,14.5,14.55,120,2980
1255021,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,12:02:59,14.55,18.8,14.55,18.8,80,3000
1255022,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,12:03:59,18.8,18.8,16.95,17.0,180,2920
1255023,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,12:04:59,17.0,18.5,15.5,15.5,480,2920
1255024,BANKNIFTY04JUN2022800CE.NFO,2020-06-01,12:05:59,14.5,14.5,14.5,14.5,540,2920
