,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1080620,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:15:59,2.0,2.95,2.0,2.95,1100,21100
1080621,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:16:59,2.95,2.95,2.45,2.45,100,21100
1080622,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:17:59,2.45,2.45,2.05,2.2,800,21960
1080623,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:18:59,2.2,2.6,2.2,2.3,420,21960
1080624,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:19:59,2.15,2.15,2.1,2.1,440,21960
1080625,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:20:59,2.1,2.3,2.1,2.3,120,21760
1080626,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:21:59,2.25,2.5,2.25,2.3,720,21760
1080627,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:22:59,2.3,2.55,2.3,2.5,400,21760
1080628,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:23:59,2.6,2.6,2.5,2.5,200,22380
1080629,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:24:59,2.5,2.5,2.5,2.5,500,22380
1080630,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:26:59,2.5,2.95,2.5,2.95,4180,21900
1080631,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:27:59,2.95,4.6,2.9,3.15,2440,21900
1080632,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:28:59,3.15,3.15,2.9,2.95,260,21900
1080633,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:29:59,2.95,3.0,2.6,2.85,320,23240
1080634,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:30:59,2.6,3.45,2.6,3.1,2940,23240
1080635,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:31:59,3.1,3.2,2.85,2.85,1260,23240
1080636,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:32:59,2.85,3.0,2.85,2.85,300,25200
1080637,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:33:59,2.9,2.9,2.6,2.9,1140,25200
1080638,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:34:59,2.75,3.05,2.75,2.9,4580,25200
1080639,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:35:59,2.9,3.25,2.9,3.1,4380,24960
1080640,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:36:59,3.1,3.1,2.95,2.95,2080,24960
1080641,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:37:59,2.95,2.95,2.85,2.85,560,24960
1080642,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:38:59,2.85,2.9,2.8,2.8,1440,25480
1080643,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:39:59,2.8,2.8,2.7,2.7,380,25480
1080644,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:40:59,2.7,2.8,2.65,2.65,380,25480
1080645,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:41:59,2.65,2.8,2.65,2.7,2040,24120
1080646,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:42:59,2.75,2.75,2.6,2.6,2740,24120
1080647,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:43:59,2.6,2.65,2.6,2.6,3620,24120
1080648,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:44:59,2.6,2.7,2.6,2.65,1640,24380
1080649,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:45:59,2.6,2.65,2.6,2.6,1720,24380
1080650,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:46:59,2.55,2.65,2.55,2.55,1640,24380
1080651,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:47:59,2.6,2.65,2.55,2.6,1380,26140
1080652,BANKNIFTY04JUN2014500PE.NFO,2020-06-01,09:48:59,2.6,2.8,2.5,2.8,2480,26140
