,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1117471,BANKNIFTY04JUN2017600CE.NFO,2020-06-01,09:22:59,2338.0,2338.0,2338.0,2338.0,40,3540
1117472,BANKNIFTY04JUN2017600CE.NFO,2020-06-01,10:04:59,2570.55,2570.55,2570.55,2570.55,20,3500
1117473,BANKNIFTY04JUN2017600CE.NFO,2020-06-01,11:41:59,2570.55,2570.55,2420.0,2420.0,40,3520
1117474,BANKNIFTY04JUN2017600CE.NFO,2020-06-01,11:42:59,2420.0,2420.0,2420.0,2420.0,40,3520
1117475,BANKNIFTY04JUN2017600CE.NFO,2020-06-01,11:43:59,2420.0,2420.0,2420.0,2420.0,60,3520
1117476,BANKNIFTY04JUN2017600CE.NFO,2020-06-01,12:04:59,2482.6,2482.6,2482.6,2482.6,20,3420
1117477,BANKNIFTY04JUN2017600CE.NFO,2020-06-01,14:33:59,2482.6,2482.6,2400.0,2400.0,20,3420
8295325,BANKNIFTY25JUN2017600CE.NFO,2020-06-01,09:17:59,2292.85,2292.85,2292.85,2292.85,40,500
8295326,BANKNIFTY25JUN2017600CE.NFO,2020-06-01,09:40:59,2292.85,2584.15,2292.85,2584.15,20,540
8295327,BANKNIFTY25JUN2017600CE.NFO,2020-06-01,09:42:59,2584.15,2584.15,2584.15,2584.15,40,560
8295328,BANKNIFTY25JUN2017600CE.NFO,2020-06-01,14:27:59,2584.15,2584.15,2568.35,2568.35,60,520
8295329,BANKNIFTY25JUN2017600CE.NFO,2020-06-01,14:28:59,2568.35,2568.95,2568.35,2568.95,40,520
