,Ticker,Date,Time,Open,High,Low,Close,Volume,Open_Interest
1085784,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,09:20:59,5.5,5.5,3.3,3.3,60,180
1085785,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,10:30:59,4.3,4.3,4.3,4.3,20,200
1085786,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,10:47:59,7.8,7.8,7.8,7.8,60,200
1085787,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,13:46:59,7.7,7.7,7.7,7.7,40,220
1085788,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,13:57:59,8.5,8.5,8.5,8.5,20,220
1085789,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,14:11:59,4.85,4.85,4.85,4.85,100,220
1085790,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,15:04:59,4.6,4.6,4.6,4.6,60,200
1085791,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,15:18:59,7.6,7.6,7.6,7.6,200,220
1085792,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,15:19:59,5.0,5.0,5.0,5.0,60,400
1085793,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,15:20:59,5.0,7.55,5.0,7.55,140,400
1085794,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,15:21:59,7.55,7.55,6.0,6.0,20,400
1085795,BANKNIFTY04JUN2015800PE.NFO,2020-06-01,15:23:59,6.0,7.5,6.0,7.5,60,400
